run_id,tick,n_agents,movement_saturation,relative_leader_influence,log_recruitment_strictness,log_desertion_strictness,social_influence,n_signals,new_signal_rate,leader_values,leader_election,leader_lifespan,n_ticks_total,data_interval,signal_representation,conversion_rate,desertion_rate,conversion_rate_A,conversion_rate_B,conversion_rate_C,conversion_rate_D,conversion_rate_E,converted_A,converted_B,converted_C,converted_D,converted_E,deserted_A,deserted_B,deserted_C,deserted_D,deserted_E,outsiders_A,outsiders_B,outsiders_C,outsiders_D,outsiders_E,count_eas,count_non_eas,ea_A,ea_B,ea_C,ea_D,ea_E,profile_A_total,profile_B_total,profile_C_total,profile_D_total,profile_E_total,leader_value_profile,mean_signals_eas,mean_signals_outsiders,mean_signals_leader,sd_signals_eas,sd_signals_outsiders,mean_time_eas,mean_time_noneas,mean_time_all,ea_align_0_0.05,ea_align_0.05_0.1,ea_align_0.1_0.15,ea_align_0.15_0.2,ea_align_0.2_0.25,ea_align_0.25_0.3,ea_align_0.3_0.35,ea_align_0.35_0.4,ea_align_0.4_0.45,ea_align_0.45_0.5,ea_align_0.5_0.55,ea_align_0.55_0.6,ea_align_0.6_0.65,ea_align_0.65_0.7,ea_align_0.7_0.75,ea_align_0.75_0.8,ea_align_0.8_0.85,ea_align_0.85_0.9,ea_align_0.9_0.95,ea_align_0.95_1,nonea_align_0_0.05,nonea_align_0.05_0.1,nonea_align_0.1_0.15,nonea_align_0.15_0.2,nonea_align_0.2_0.25,nonea_align_0.25_0.3,nonea_align_0.3_0.35,nonea_align_0.35_0.4,nonea_align_0.4_0.45,nonea_align_0.45_0.5,nonea_align_0.5_0.55,nonea_align_0.55_0.6,nonea_align_0.6_0.65,nonea_align_0.65_0.7,nonea_align_0.7_0.75,nonea_align_0.75_0.8,nonea_align_0.8_0.85,nonea_align_0.85_0.9,nonea_align_0.9_0.95,nonea_align_0.95_1,ea_signal_weight_0_mean,ea_signal_weight_0_sd,ea_signal_weight_1_mean,ea_signal_weight_1_sd,ea_signal_weight_2_mean,ea_signal_weight_2_sd,ea_signal_weight_3_mean,ea_signal_weight_3_sd,ea_signal_weight_4_mean,ea_signal_weight_4_sd,ea_signal_weight_5_mean,ea_signal_weight_5_sd,nonea_signal_weight_0_mean,nonea_signal_weight_0_sd,nonea_signal_weight_1_mean,nonea_signal_weight_1_sd,nonea_signal_weight_2_mean,nonea_signal_weight_2_sd,nonea_signal_weight_3_mean,nonea_signal_weight_3_sd,nonea_signal_weight_4_mean,nonea_signal_weight_4_sd,nonea_signal_weight_5_mean,nonea_signal_weight_5_sd,leader_signal_weight_0_mean,leader_signal_weight_0_sd,leader_signal_weight_1_mean,leader_signal_weight_1_sd,leader_signal_weight_2_mean,leader_signal_weight_2_sd,leader_signal_weight_3_mean,leader_signal_weight_3_sd,leader_signal_weight_4_mean,leader_signal_weight_4_sd,leader_signal_weight_5_mean,leader_signal_weight_5_sd
1,0,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.09006928406466513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,114,176,133,31,24,475,10,13,1,0,0,32,127,177,133,31,A,2.433333333333333,3.871578947368421,2.2,1.128197292875967,1.2571332405088627,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,8,3,4,0,0,0,0,2,7,6,14,38,37,21,35,105,33,26,16,51,30,35,19,0.2141666666666666,0.24676897604081408,0.3425,0.08471178758898752,0.28416666666666673,0.12877066458619763,0.12704166666666664,0.13368848578648818,0.030562499999999996,0.024015987654965983,0.0015625000000000014,0.006060406967250274,0.028357052631578887,0.10164340956793166,0.12805999999999987,0.16316354651512183,0.18942105263157955,0.12322166049410081,0.35573642105263137,0.26820741831710926,0.2022800000000006,0.1714679686168915,0.09614547368421092,0.11793629348163584,0.5,NA,0.3,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,1,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.10947368421052632,0,0.38095238095238093,0.3333333333333333,0.028409090909090908,0.007518796992481203,0,8,38,5,1,0,0,0,0,0,0,21,114,176,133,31,24,475,10,13,1,0,0,32,127,177,133,31,A,2.45,3.856842105263158,1.8,1.1364843327804666,1.2567134488074112,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,8,3,4,0,0,0,0,2,7,6,14,38,37,21,35,105,33,26,16,51,30,35,19,0.21072424825506464,0.24246447296871607,0.3430728746400924,0.08335274393541191,0.2876755828853992,0.12818261488618676,0.12579780005895794,0.13141014940750842,0.03047585605384073,0.024259705111500607,0.0022536381066451615,0.006129797098066806,0.028357052631578866,0.10164340956793161,0.1280599999999999,0.1631635465151218,0.18942105263157963,0.12322166049410077,0.35573642105263176,0.26820741831710926,0.2022800000000008,0.17146796861689143,0.096145473684211,0.11793629348163584,0.5,NA,0.3,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,2,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.025,0,0.2727272727272727,0.08888888888888889,0,0,0,3,8,0,0,0,0,0,0,0,0,11,90,180,132,27,59,440,15,38,5,1,0,27,128,185,133,27,A,2.5728813559322035,3.94,1.8,0.9900578057188473,1.1684187454466919,2.3559322033898304,2.725,2.682,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,7,18,10,9,7,0,0,0,4,11,8,11,25,53,31,47,62,72,14,12,25,35,13,11,6,0.13304605550669843,0.21215245281173914,0.33781485851566084,0.11447149231550872,0.30838989528316474,0.12198295563407345,0.1682307265933482,0.16636760782180143,0.045335495755551194,0.054550869115011474,0.007182968345576594,0.02863740570747258,0.017883409090908964,0.07200851140666024,0.11056590909090905,0.15516694726355068,0.17996590909090932,0.1165132632828204,0.39640045454545425,0.26413065130066393,0.21117045454545497,0.16806631539012626,0.08401386363636398,0.1135225758550874,0.5,NA,0.3,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,3,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.06053811659192825,0,0.6923076923076923,0.18085106382978725,0.005813953488372093,0,0,9,17,1,0,0,0,0,0,0,0,13,94,172,135,32,53,446,14,33,5,1,0,28,127,177,136,32,A,2.630188679245283,3.915695067264574,1.6,1.0294130619649637,1.1582211792122024,3.169811320754717,3.18609865470852,3.186,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,17,6,10,5,0,0,0,3,10,10,11,22,60,33,51,71,58,15,7,20,46,13,8,8,0.1335795438292604,0.2080519338168631,0.3383590947221238,0.12017332605180736,0.3016536555963783,0.12174566692009442,0.17147522719756253,0.1717632786296692,0.04687064608663514,0.05710980418675299,0.008061832568039893,0.030737499725051055,0.018678699551569377,0.07206469358933877,0.11509529147982057,0.1587316631902039,0.18071748878923793,0.11881219628299834,0.39528139013452934,0.25956017308255874,0.21543273542600952,0.1722641033645907,0.07479439461883433,0.11488450258760437,0.5,NA,0.3,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,4,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.022172949002217297,0,0.2857142857142857,0.05102040816326531,0,0.007352941176470588,0,4,5,0,1,0,0,0,0,0,0,14,98,175,136,28,48,451,14,30,4,0,0,29,128,179,136,28,A,2.5541666666666667,3.854988913525499,1.4,1.0047915192768102,1.107284377795938,3.2083333333333335,3.3658536585365852,3.354,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,4,15,3,8,6,0,0,2,5,10,9,14,15,73,63,63,54,37,12,20,23,37,5,6,3,0.13648510386899296,0.19872113537847044,0.3563900540499896,0.10674888502605641,0.3026913496916111,0.12192309880817952,0.16178111466162634,0.16206248182059899,0.03895074027709807,0.030976481876405358,0.003701637450681992,0.009002416424421804,0.01884878048780477,0.06987456327558617,0.11909534368070937,0.1614933428295748,0.18368070953436835,0.11887986486994118,0.41302838137472264,0.2522990829098513,0.21022394678492312,0.16978916259993831,0.05512283813747238,0.10350253711079502,0.5,NA,0.3,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,5,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.019230769230769232,0,0.3333333333333333,0.03508771929824561,0,0,0,5,4,0,0,0,0,0,0,0,0,15,114,181,131,27,31,468,12,18,0,1,0,28,132,181,132,27,A,2.3483870967741933,3.784188034188034,1.2,0.9642542935810906,1.0941202719154817,2.806451612903226,3.4401709401709404,3.398,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,6,8,4,2,2,3,2,2,14,6,15,23,43,133,61,27,16,47,27,15,15,12,5,0,2,0.16523108868497205,0.19743372257794028,0.3826585444674039,0.06444713858320919,0.29320275719667344,0.12645977788928428,0.11720123777197038,0.07624358102739945,0.040388045808174906,0.06791141873509461,0.0013183260708053617,0.0016602666847448304,0.01926965811965805,0.0695004411913544,0.12933653846153825,0.16741383251490424,0.1909294871794877,0.12305506743385143,0.42281153846153935,0.24754768535800867,0.20004914529914591,0.16802204511256152,0.03760363247863239,0.09061130866909173,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,6,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.02754237288135593,0,0.3,0.05555555555555555,0,0,0,6,7,0,0,0,0,0,0,0,0,20,126,175,124,27,27,472,13,13,0,1,0,34,139,175,125,27,A,2.2222222222222223,3.727542372881356,1.8,0.9748070353761834,1.1170970345292102,3.111111111111111,3.4661016949152543,3.446,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,2,4,5,3,3,1,2,9,9,8,16,27,34,129,54,23,24,48,20,20,14,23,4,2,5,0.2061483418499144,0.20611614454444518,0.37771890304964845,0.06819211197347337,0.2682424239081853,0.12957010803296204,0.10718970252785735,0.0807447346261661,0.03932603798942507,0.07267193921971896,0.0013745906749691487,0.001831338738731393,0.02346334745762702,0.07941240866195057,0.14180720338983038,0.17322079754994693,0.19731991525423803,0.12655222810783934,0.408634110169492,0.25104620953591117,0.19200635593220372,0.1681997313940927,0.03676906779661008,0.09043190219723488,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,7,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.02526315789473684,0,0.23076923076923078,0.04032258064516129,0.0056179775280898875,0,0,6,5,1,0,0,0,0,0,0,0,26,124,178,125,22,24,475,14,9,0,1,0,41,133,178,126,22,A,2.2583333333333333,3.6993684210526316,1.8,1.057155159289461,1.127759006172494,2.7083333333333335,3.4947368421052634,3.458,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,6,7,2,0,0,0,5,3,6,5,6,43,42,51,67,90,18,20,35,58,14,10,2,0.2443212476405665,0.20248478929996477,0.3817170916655493,0.07352795322221752,0.2371795372915507,0.11877905858479719,0.09781914344054,0.08344552626915178,0.0375447791400923,0.0776885674661222,0.0014182008217013202,0.001986710330247536,0.028388842105263126,0.0896243502511412,0.14443684210526322,0.17403944097624324,0.19730526315789557,0.12418341492268979,0.4107688421052639,0.25132212296427886,0.18656421052631605,0.16485080706453684,0.03253599999999992,0.08203503926683144,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,8,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.04821802935010482,0,0.4074074074074074,0.09166666666666666,0.00558659217877095,0,0,11,11,1,0,0,0,0,0,0,0,27,120,179,125,26,22,477,13,8,1,0,0,41,128,180,125,26,A,2.190909090909091,3.7329140461215933,1.8,1.0271136591068861,1.1301367157932722,2.6363636363636362,3.429769392033543,3.398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,4,6,3,0,0,0,3,3,10,6,8,41,46,54,63,79,23,21,42,53,11,11,3,0.24582760189127031,0.20003919127664507,0.3767260407912439,0.08009285121626092,0.23699764170227222,0.12310597426661732,0.11162864183365205,0.13954961289301013,0.02642561121564887,0.026705043671333025,0.002394462565912712,0.00647637202302368,0.02904633123689722,0.09106618340894469,0.1413993710691822,0.17302454754810276,0.19373165618448712,0.12380103694186712,0.4096744234800847,0.2528741174189911,0.19033542976939263,0.16748244816629304,0.035812788259958005,0.08842519451600041,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
1,9,500,5,100,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.11563169164882227,0,0.2727272727272727,0.3247863247863248,0.03314917127071823,0.03305785123966942,0,6,38,6,4,0,0,0,0,0,0,22,117,181,121,26,32,467,19,12,1,0,0,42,129,182,121,26,A,2.275,3.7486081370449678,2,1.0090782891880554,1.1187873255817553,2.625,3.443254817987152,3.388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,10,9,3,0,0,0,0,0,0,1,4,16,5,21,27,102,64,53,20,56,47,35,16,0.239924760227177,0.192689248590989,0.382420024041824,0.06627407804702241,0.24898654936484724,0.1245083918369103,0.10155846546924983,0.11579376813087658,0.025101249370581797,0.024370381608305864,0.002008951526320164,0.005649121361945736,0.02535995717344747,0.08350541604597309,0.13732226980728035,0.17143318965669144,0.19293361884368368,0.1239655128404096,0.41662783725910113,0.2524457108089332,0.19113811563169214,0.1667337984069381,0.0366182012847965,0.08921248920545878,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
