n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
25,5,50,0.43478260869565216,1,sum-linear,binary
25,5,50,0.30434782608695654,2,sum-linear,binary
25,5,50,0.4782608695652174,3,sum-linear,binary
25,5,50,0.34782608695652173,4,sum-linear,binary
25,5,50,0.43478260869565216,5,sum-linear,binary
25,5,50,0.43478260869565216,6,sum-linear,binary
25,5,50,0.5217391304347826,7,sum-linear,binary
25,5,50,0.30434782608695654,8,sum-linear,binary
25,5,50,0.30434782608695654,9,sum-linear,binary
25,5,50,0.391304347826087,10,sum-linear,binary
25,10,50,0.36363636363636365,1,sum-linear,binary
25,10,50,0.36363636363636365,2,sum-linear,binary
25,10,50,0.36363636363636365,3,sum-linear,binary
25,10,50,0.5,4,sum-linear,binary
25,10,50,0.5909090909090909,5,sum-linear,binary
25,10,50,0.5454545454545454,6,sum-linear,binary
25,10,50,0.5454545454545454,7,sum-linear,binary
25,10,50,0.4090909090909091,8,sum-linear,binary
25,10,50,0.45454545454545453,9,sum-linear,binary
25,10,50,0.45454545454545453,10,sum-linear,binary
25,15,50,0.23809523809523808,1,sum-linear,binary
25,15,50,0.38095238095238093,2,sum-linear,binary
25,15,50,0.38095238095238093,3,sum-linear,binary
25,15,50,0.47619047619047616,4,sum-linear,binary
25,15,50,0.6190476190476191,5,sum-linear,binary
25,15,50,0.6190476190476191,6,sum-linear,binary
25,15,50,0.3333333333333333,7,sum-linear,binary
25,15,50,0.5714285714285714,8,sum-linear,binary
25,15,50,0.42857142857142855,9,sum-linear,binary
25,15,50,0.5714285714285714,10,sum-linear,binary
25,20,50,0.35,1,sum-linear,binary
25,20,50,0.25,2,sum-linear,binary
25,20,50,0.4,3,sum-linear,binary
25,20,50,0.55,4,sum-linear,binary
25,20,50,0.7,5,sum-linear,binary
25,20,50,0.25,6,sum-linear,binary
25,20,50,0.45,7,sum-linear,binary
25,20,50,0.4,8,sum-linear,binary
25,20,50,0.5,9,sum-linear,binary
25,20,50,0.65,10,sum-linear,binary
25,25,50,0.2777777777777778,1,sum-linear,binary
25,25,50,0.5555555555555556,2,sum-linear,binary
25,25,50,0.6111111111111112,3,sum-linear,binary
25,25,50,0.5555555555555556,4,sum-linear,binary
25,25,50,0.3333333333333333,5,sum-linear,binary
25,25,50,0.4444444444444444,6,sum-linear,binary
25,25,50,0.4444444444444444,7,sum-linear,binary
25,25,50,0.5555555555555556,8,sum-linear,binary
25,25,50,0.5555555555555556,9,sum-linear,binary
25,25,50,0.4444444444444444,10,sum-linear,binary
25,30,50,0.5882352941176471,1,sum-linear,binary
25,30,50,0.6470588235294118,2,sum-linear,binary
25,30,50,0.29411764705882354,3,sum-linear,binary
25,30,50,0.5294117647058824,4,sum-linear,binary
25,30,50,0.7058823529411765,5,sum-linear,binary
25,30,50,0.35294117647058826,6,sum-linear,binary
25,30,50,0.35294117647058826,7,sum-linear,binary
25,30,50,0.5294117647058824,8,sum-linear,binary
25,30,50,0.4117647058823529,9,sum-linear,binary
25,30,50,0.6470588235294118,10,sum-linear,binary
25,35,50,0.375,1,sum-linear,binary
25,35,50,0.75,2,sum-linear,binary
25,35,50,0.6875,3,sum-linear,binary
25,35,50,0.625,4,sum-linear,binary
25,35,50,0.375,5,sum-linear,binary
25,35,50,0.5,6,sum-linear,binary
25,35,50,0.5625,7,sum-linear,binary
25,35,50,0.4375,8,sum-linear,binary
25,35,50,0.6875,9,sum-linear,binary
25,35,50,0.625,10,sum-linear,binary
25,40,50,0.6,1,sum-linear,binary
25,40,50,0.4,2,sum-linear,binary
25,40,50,0.5333333333333333,3,sum-linear,binary
25,40,50,0.4666666666666667,4,sum-linear,binary
25,40,50,0.4,5,sum-linear,binary
25,40,50,0.4666666666666667,6,sum-linear,binary
25,40,50,0.6,7,sum-linear,binary
25,40,50,0.5333333333333333,8,sum-linear,binary
25,40,50,0.5333333333333333,9,sum-linear,binary
25,40,50,0.4,10,sum-linear,binary
25,45,50,0.6923076923076923,1,sum-linear,binary
25,45,50,0.46153846153846156,2,sum-linear,binary
